region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
UK,male,other,strongly agree,probably yes,yes,does not apply to me ,extremely important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably not,,british english,rarely,yes,neither yes or no,probably yes,probably yes,agree,agree,agree,agree,probably yes,34,united kingdom,postgraduate degree,i am not currently studying,0,yes ,15,24 hours,5,5,4,3,5,5,5,5,3.66666666666667,5,4.66666666666667
ON,female,British Columbia,strongly agree,probably yes,no,,important,no,yes,,zed,important,might or might not,definitely yes,definitely not,yes ,no particular variety,,yes,yes,probably yes,probably yes,disagree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,59,canada,postgraduate degree,i am not currently studying,0,yes ,14,12 hours,5,3,4,4,4,5,3,5,5,4,4.25
AB,female,Alberta,strongly agree,definitely yes,no,,important,no,no,,both,neither unimportant nor important,probably not,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,strongly agree,strongly agree,neither disagree nor agree,probably yes,44,canada,graduate degree,i am not currently studying,0,no,,24 hours,1,2,3,3,3,1,2,3.66666666666667,3.66666666666667,3,3.08333333333333
AB,female,Ontario,strongly agree,neutral,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zee,important,definitely not,definitely yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,34,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,5,1,4,4,4,5,1,5,5,4,3.75
SK,female,Alberta,agree,probably not,no,,important,yes,no,,zed,important,probably yes,,,,no particular variety,often,,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,29,canada,high school,i am not currently studying,0,no,,30 minutes to 1 hour,1,4,,3,4,1,4,,3.66666666666667,4,3.88888888888889
AB,male,Alberta,strongly agree,definitely not,no,,extremely important,yes,no,,zed,neither unimportant nor important,probably yes,definitely yes,definitely not,no,no particular variety,sometimes,yes,definitely yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,neither disagree nor agree,,definitely yes,29,canada,undergraduate degree,i am not currently studying,0,yes ,0,12 hours,1,4,4,4,3,1,4,5,5,3,4.25
BC,female,British Columbia,strongly agree,definitely yes,no,,,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,probably not,probably not,yes ,other ,often,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,agree,strongly agree,probably yes,54,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,5,2,3,5,5,5,2.33333333333333,3.66666666666667,5,4
AB,male,Alberta,strongly agree,probably not,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,no,british english,often,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,agree,neither disagree nor agree,definitely yes,34,canada,undergraduate degree,i am not currently studying,0,yes ,10,30 minutes to 1 hour,5,4,3,4,3,5,4,3.66666666666667,5,3,3.91666666666667
US,female,Alberta,somewhat agree,neutral,no,,unimportant,that depends ,no,,both,unimportant,definitely yes,definitely not,definitely not,yes ,no particular variety,always,,definitely not,probably yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,44,canada,undergraduate degree,fourth year+,0,no,,less than 30 minutes,1,5,1,3,2,1,5,1,3.66666666666667,2,2.91666666666667
AB,male,Alberta,agree,probably yes,no,,important,that depends ,no,,zed,neither unimportant nor important,probably not,definitely yes,definitely not,,no particular variety,sometimes,yes,definitely yes,probably yes,definitely yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,34,canada,graduate degree,i am not currently studying,0,yes ,12,30 minutes to 1 hour,1,2,4,4,3,1,2,5,5,3,3.75
MB,female,Alberta,strongly agree,neutral,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,definitely not,yes ,canadian english,sometimes,yes,definitely yes,probably yes,probably yes,strongly agree,agree,strongly agree,strongly agree,definitely yes,64,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,3,4,5,5,5,3.66666666666667,5,5,4.66666666666667
SK,male,Alberta,strongly disagreee,probably yes,no,,extremely important,yes,no,,zed,important,definitely yes,probably yes,definitely not,no,no particular variety,rarely,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,disagree,definitely yes,39,canada,undergraduate degree,i am not currently studying,1,no,,30 minutes to 1 hour,1,5,3,4,4,1,5,3.66666666666667,5,4,4.41666666666667
AB,male,Alberta,strongly agree,probably yes,no,,extremely important,no,no,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,definitely yes,44,canada,postgraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,5,3,4,5,1,5,3.66666666666667,5,5,4.66666666666667
UK,female,other,strongly agree,probably yes,no,,,that depends ,no,,zed,very unimportant,probably yes,definitely not,,,british english,sometimes,yes,,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,59,cayman islands,graduate degree,i am not currently studying,0,yes ,8,24 hours,1,4,1,3,1,1,4,1,3.66666666666667,1,2.41666666666667
