Cool,Multiling,Umultiling,ComfNonEng,Media,Priv,StHeard,StDescr,Zed,Spell,SpellUni,Distinct,SameEW,Celebs,Prestige,RecCdns,Software,Dictionary,RecogEh,CdnSorry,EnglAble,FrAble,IndAble,BeyondEF,CdnWay,Age,LiveLand,LiveProv,Gender,EduComp,DegreeYear,Region,EUI,DistCult,EOI,SocMedia
Strongly agree,Probably yes,Yes,Moderately comfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Probably not,Probably not,Yes (please specify who):,British English,Often,Yes,Yes,Definitely yes,Probably yes,Strongly disagree,Neither disagree nor agree,Agree,Strongly agree,Probably yes,30-34,Canada,Quebec,,undergraduate degree,I am not currently studying,QC,6,yes (please specify):,9,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Extremely comfortable,Important,No,Not sure,,zed,Unimportant,Might or might not,Probably yes,Definitely not,,No particular variety,Often,No,No,Probably yes,Might or might not,Strongly agree,Strongly agree,Agree,Neither disagree nor agree,Probably yes,65-69,Canada,Quebec,male,undergraduate degree,I am not currently studying,QC,1,no,,I don't use social media
Strongly agree,Definitely yes,Yes,Extremely uncomfortable,Important,Yes,No,,zed,Neither unimportant nor important,Definitely yes,Definitely yes,Definitely not,No,No particular variety,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Agree,Agree,Disagree,Definitely yes,45-49,Canada,Manitoba,male,high school,I am not currently studying,MB,0,no,,2-4 hours
Somewhat agree,Probably not,No,,Important,Yes,No,,zed,Neither unimportant nor important,Probably yes,Probably yes,Probably not,No,British English,Sometimes,Yes,Definitely yes,Probably yes,Might or might not,Agree,Disagree,Agree,Disagree,Probably not,35-39,Canada,Manitoba,male,undergraduate degree,I am not currently studying,MB,0,no,,30 minutes to 1 hour
Strongly agree,Neutral,No,,Important,Yes,No,,zee,Unimportant,Probably not,Probably not,Definitely yes,No,British English,Often,Yes,Don't know,Definitely yes,Might or might not,Strongly agree,Neither disagree nor agree,Strongly agree,Strongly agree,Probably yes,45-49,Canada,Manitoba,male,other (please specify):,I am not currently studying,MB,0,no,,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Extremely comfortable,Extremely unimportant,Yes,No,,both,Unimportant,Probably not,Probably not,Probably yes,No,No particular variety,Sometimes,,Neither yes or no,Probably yes,Might or might not,Agree,Agree,Agree,Disagree,,30-34,Canada,Quebec,male,graduate degree,I am not currently studying,QC,12,yes (please specify):,11,2-4 hours
Strongly agree,Probably not,No,,Unimportant,Yes,No,,zee,Important,Might or might not,Definitely yes,Probably not,No,No particular variety,Often,Yes,Definitely yes,Definitely yes,Probably yes,Agree,Disagree,Strongly agree,Strongly agree,Definitely yes,30-34,Canada,Manitoba,other (please type here),high school,I am not currently studying,MB,0,yes (please specify):,2,less than 30 minutes
Strongly agree,Probably yes,Yes,Extremely comfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Probably yes,Probably not,No,British English,Sometimes,Yes,Definitely yes,Definitely yes,Probably yes,Disagree,Disagree,Agree,Agree,Probably yes,30-34,Canada,Ontario,non-binary,high school,I am not currently studying,X,0,no,,1-2 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Unimportant,Yes,No,,zee,Neither unimportant nor important,Probably not,Probably not,Probably not,,British English,Sometimes,No,Yes,Definitely yes,Probably yes,Strongly agree,Neither disagree nor agree,Agree,Disagree,Probably yes,25-29,Canada,Ontario,female,graduate degree,I am not currently studying,Ukraine,8,yes (please specify):,4,2-4 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",both,Neither unimportant nor important,Probably yes,Probably yes,Probably not,No,British English,Sometimes,Yes,Don't know,Probably yes,Probably yes,Agree,Agree,Neither disagree nor agree,Agree,Probably yes,40-44,Canada,Ontario,male,post-graduate degree,I am not currently studying,Serbia,5,no,,30 minutes to 1 hour
