cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,cdn_way_num
strongly agree,definitely yes,no,,extremely unimportant,yes,yes,yes but i cant describe it well,both,very unimportant,definitely not,definitely not,probably not,no,singaporean english,rarely,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably not,19,canada,british columbia,female,high school,second year,bc,0,no,,46 hours,2
strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,yes ,12,12 hours,3
strongly agree,probably yes,no,,extremely unimportant,that depends ,no,,zee,unimportant,probably not,definitely not,probably yes,no,british english,sometimes,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,agree,disagree,probably yes,19,united states,california,male,high school,i am not currently studying,bc,0,no,,46 hours,3
strongly agree,probably yes,yes,moderately comfortable,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,quebec,other,high school,fourth year+,bc,0,no,,12 hours,3
strongly agree,probably not,no,,important,that depends ,no,,zed,neither unimportant nor important,definitely not,definitely not,probably yes,yes ,british english,rarely,,no,probably yes,probably yes,agree,disagree,strongly agree,disagree,probably yes,24,canada,british columbia,male,high school,fourth year+,bc,0,yes ,4,24 hours,3
agree,definitely yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,zee,important,probably yes,probably yes,,,british english,sometimes,,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,19,canada,british columbia,female,elementary school,i am not currently studying,bc,0,no,,46 hours,3
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably not,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,,disagree,strongly agree,disagree,definitely yes,24,canada,british columbia,male,high school,fourth year+,mb,0,yes ,3,30 minutes to 1 hour,4
agree,definitely yes,no,,important,yes,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,24,canada,british columbia,male,undergraduate degree,fourth year+,ab,0,no,,24 hours,4
agree,probably yes,yes,moderately comfortable,,that depends ,no,,both,unimportant,probably not,probably yes,,yes ,british english,sometimes,yes,,definitely yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,quebec,other,high school,fourth year+,on,2,no,,46 hours,3
agree,probably yes,no,,unimportant,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,probably not,,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,no,,24 hours,3
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,undergraduate degree,i am not currently studying,mb,0,no,,46 hours,3
strongly agree,definitely yes,yes,moderately comfortable,important,no,not sure,,zed,important,probably not,probably yes,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably not,24,canada,british columbia,female,high school,fourth year+,on,0,yes ,2,30 minutes to 1 hour,2
strongly agree,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,british columbia,female,high school,fourth year+,bc,0,no,,30 minutes to 1 hour,4
strongly disagreee,probably yes,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,no,,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,probably not,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,2,yes ,3,24 hours,3
strongly agree,probably yes,yes,extremely comfortable,extremely important,no,yes,yes but i cant describe it well,zee,important,definitely yes,probably yes,,,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,quebec,female,undergraduate degree,first year,qc,5,no,,12 hours,3
strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,disagree,agree,agree,probably not,49,canada,british columbia,male,high school,i am not currently studying,mb,3,yes ,4,30 minutes to 1 hour,2
strongly agree,neutral,yes,moderately comfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,yes ,singaporean english,,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,definitely yes,39,canada,british columbia,male,postgraduate degree,fourth year+i am in a graduate program,bc,0,no,,12 hours,4
strongly agree,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,not sure,yes but i cant describe it well,zee,neither unimportant nor important,probably not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,strongly agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,4,yes ,3,24 hours,3
strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,64,canada,british columbia,female,postgraduate degree,i am not currently studying,mb,0,no,,30 minutes to 1 hour,3
agree,probably yes,no,,,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,,yes ,no particular variety,sometimes,yes,yes,probably yes,probably not,disagree,disagree,,neither disagree nor agree,probably yes,24,canada,british columbia,female,undergraduate degree,fourth year+,bc,0,no,,24 hours,3
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zee,important,probably yes,probably yes,definitely not,no,british english,sometimes,,neither yes or no,probably yes,probably yes,strongly disagree,strongly disagree,strongly agree,disagree,probably yes,24,canada,ontario,female,undergraduate degree,fourth year+,bc,1,no,,12 hours,3
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,no,,zed,neither unimportant nor important,might or might not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,disagree,probably yes,24,canada,british columbia,female,high school,third year,bc,0,no,,30 minutes to 1 hour,3
strongly agree,probably yes,yes,extremely comfortable,important,that depends ,no,,both,important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly agree,probably yes,19,canada,british columbia,female,other ,second year,bc,4,yes ,10,46 hours,3
strongly agree,probably yes,no,,important,,not sure,,both,important,probably yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,i am not currently studying,bc,1,no,,24 hours,3
strongly agree,probably yes,no,,extremely important,no,not sure,yes but i cant describe it well,both,very unimportant,might or might not,definitely not,definitely not,no,british english,often,,definitely not,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,agree,probably yes,24,canada,british columbia,female,high school,third year,bc,0,no,,12 hours,3
strongly agree,definitely yes,yes,moderately comfortable,,yes,no,yes i do know it is ,zee,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,definitely yes,,strongly disagree,strongly agree,strongly agree,definitely yes,24,canada,quebec,female,high school,fourth year+,bc,4,yes ,7,24 hours,4
strongly agree,probably yes,yes,moderately uncomfortable,extremely important,no,no,,zed,very important,probably yes,probably yes,probably yes,yes ,canadian english,sometimes,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,quebec,female,high school,fourth year+,on,3,no,,12 hours,3
strongly agree,probably yes,yes,does not apply to me ,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,,no,no particular variety,often,yes,yes,,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,definitely yes,54,sweden,,female,postgraduate degree,i am not currently studying,bc,6,yes ,12,30 minutes to 1 hour,4
strongly agree,probably yes,no,,important,that depends ,yes,yes i do know it is ,zee,neither unimportant nor important,probably yes,definitely not,definitely not,yes ,british english,never,no,yes,definitely not,probably yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,ab,0,yes ,5,24 hours,3
agree,probably not,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,definitely yes,,,british english,often,yes,definitely yes,probably yes,definitely yes,disagree,disagree,agree,strongly disagree,probably yes,44,canada,british columbia,male,graduate degree,i am not currently studying,bc,0,no,,30 minutes to 1 hour,3
strongly agree,definitely yes,yes,moderately comfortable,important,no,no,,zed,very important,probably yes,definitely yes,,yes ,british english,rarely,yes,neither yes or no,definitely yes,definitely yes,agree,disagree,agree,agree,probably yes,19,canada,british columbia,male,high school,first year,bc,3,yes ,0,68 hours,3
strongly agree,definitely yes,no,,unimportant,no,no,,zee,unimportant,probably not,probably not,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,might or might not,disagree,strongly disagree,agree,neither disagree nor agree,probably yes,24,canada,ontario,other,high school,third year,on,0,yes ,4,24 hours,3
strongly agree,probably not,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably not,probably not,yes ,no particular variety,often,,neither yes or no,definitely yes,probably yes,agree,neither disagree nor agree,agree,strongly agree,probably yes,34,canada,british columbia,male,other ,i am not currently studying,bc,0,no,,12 hours,3
somewhat disagree,definitely not,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,agree,strongly agree,strongly disagree,definitely yes,34,canada,ontario,male,other ,i am not currently studying,bc,0,yes ,12,less than 30 minutes,4
somewhat agree,probably not,yes,moderately comfortable,important,that depends ,no,,both,neither unimportant nor important,probably not,probably not,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,probably not,24,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,2,yes ,10,24 hours,2
strongly agree,neutral,no,,important,that depends ,yes,,zed,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,1,no,,12 hours,3
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,both,very important,definitely yes,definitely yes,probably not,yes ,british english,always,yes,yes,definitely yes,definitely yes,strongly agree,agree,agree,agree,definitely yes,49,canada,ontario,female,undergraduate degree,i am not currently studying,on,2,yes ,7,24 hours,4
strongly agree,probably yes,yes,extremely comfortable,important,yes,not sure,,zed,unimportant,might or might not,definitely yes,,,american english,often,yes,neither yes or no,definitely not,definitely yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,yes ,8,46 hours,3
agree,definitely yes,no,,important,yes,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,29,canada,ontario,other,graduate degree,second yeari am in a graduate program,ab,0,no,,12 hours,3
strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,zed,very important,might or might not,definitely yes,definitely not,yes ,other ,rarely,yes,definitely yes,might or might not,probably not,disagree,disagree,agree,disagree,probably yes,59,canada,ontario,female,postgraduate degree,i am not currently studying,on,0,no,,12 hours,3
strongly agree,probably not,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zee,very unimportant,definitely not,definitely yes,definitely not,yes ,british english,sometimes,no,no,definitely yes,definitely yes,agree,disagree,agree,strongly disagree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,2,yes ,11,12 hours,3
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely not,probably yes,definitely not,yes ,british english,often,yes,neither yes or no,definitely yes,definitely yes,agree,strongly disagree,neither disagree nor agree,strongly disagree,definitely yes,24,canada,british columbia,female,graduate degree,i am not currently studying,bc,4,yes ,3,68 hours,4
strongly agree,probably yes,yes,moderately comfortable,extremely unimportant,yes,yes,yes i do know it is ,zed,important,probably yes,probably yes,probably yes,yes ,no particular variety,always,yes,definitely yes,definitely yes,might or might not,agree,agree,agree,neither disagree nor agree,probably yes,64,canada,manitoba,female,undergraduate degree,i am not currently studying,mb,0,yes ,0,12 hours,3
strongly agree,definitely yes,yes,moderately uncomfortable,unimportant,that depends ,no,yes i do know it is ,both,unimportant,probably not,probably yes,probably not,yes ,other ,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,strongly agree,probably yes,24,canada,british columbia,other,high school,i am not currently studying,bc,3,yes ,3,12 hours,3
strongly agree,definitely yes,yes,moderately comfortable,,yes,no,,zee,neither unimportant nor important,probably yes,probably yes,probably not,yes ,british english,rarely,yes,yes,definitely not,definitely yes,disagree,neither disagree nor agree,disagree,strongly agree,probably yes,24,canada,british columbia,female,undergraduate degree,fourth year+,bc,4,yes ,10,24 hours,3
agree,neutral,yes,moderately comfortable,important,that depends ,not sure,,both,important,probably yes,probably yes,,yes ,british english,rarely,yes,yes,definitely yes,might or might not,disagree,strongly disagree,agree,agree,probably yes,24,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,4,yes ,3,46 hours,3
strongly agree,probably not,no,,important,no,yes,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,no,neither yes or no,definitely yes,probably yes,agree,disagree,,,probably yes,24,canada,british columbia,female,high school,second year,bc,0,yes ,7,46 hours,3
somewhat agree,neutral,no,,,that depends ,yes,yes i do know it is ,both,very unimportant,might or might not,,,,no particular variety,,yes,neither yes or no,probably yes,probably yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,high school,i am not currently studying,bc,0,no,,24 hours,3
agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,,probably not,,british english,sometimes,,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,74,canada,ontario,female,postgraduate degree,i am not currently studying,on,0,no,,30 minutes to 1 hour,3
strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,64,canada,ontario,female,postgraduate degree,i am not currently studying,ab,2,no,,24 hours,3
strongly agree,definitely yes,yes,moderately uncomfortable,,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably yes,yes ,no particular variety,often,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,54,canada,british columbia,female,undergraduate degree,i am not currently studying,mb,0,no,,30 minutes to 1 hour,3
somewhat agree,probably not,no,,important,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,might or might not,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,ontario,male,high school,third year,bc,0,no,,12 hours,3
strongly agree,probably not,no,,important,no,not sure,,zee,unimportant,probably yes,probably not,probably not,,no particular variety,sometimes,yes,neither yes or no,probably yes,probably not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,69,united states,california,female,postgraduate degree,i am not currently studying,on,0,no,,12 hours,3
strongly agree,probably not,yes,moderately comfortable,extremely unimportant,that depends ,no,yes but i cant describe it well,both,very unimportant,,probably not,probably not,,no particular variety,sometimes,,no,might or might not,probably yes,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,probably not,24,canada,british columbia,female,undergraduate degree,i am in a graduate program,bc,6,yes ,5,24 hours,2
strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,probably yes,definitely yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,undergraduate degree,i am in a graduate program,on,0,no,,46 hours,3
strongly agree,probably yes,no,,important,that depends ,not sure,yes but i cant describe it well,zed,important,,probably yes,probably not,,british english,often,yes,yes,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,59,canada,ontario,female,postgraduate degree,i am not currently studying,pe,0,no,,12 hours,3
strongly agree,definitely yes,yes,moderately comfortable,important,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,agree,disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,british columbia,female,high school,fourth year+,bc,8,yes ,11,24 hours,4
strongly agree,definitely yes,no,,important,no,yes,,both,,probably yes,probably yes,,yes ,british english,often,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,54,canada,ontario,female,undergraduate degree,i am not currently studying,on,0,no,,12 hours,3
strongly agree,definitely yes,yes,extremely comfortable,,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably yes,disagree,disagree,agree,agree,probably yes,44,canada,ontario,male,postgraduate degree,i am not currently studying,on,1,no,,30 minutes to 1 hour,3
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,definitely yes,64,canada,ontario,female,graduate degree,i am not currently studying,on,4,yes ,10,12 hours,4
somewhat agree,neutral,no,,unimportant,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,often,yes,definitely yes,probably not,definitely yes,neither disagree nor agree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,34,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,0,no,,24 hours,4
strongly agree,definitely yes,no,,important,that depends ,no,,both,important,definitely yes,probably yes,probably not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,strongly agree,definitely yes,64,canada,ontario,male,high school,i am not currently studying,on,0,yes ,8,24 hours,4
,probably not,yes,extremely comfortable,unimportant,that depends ,no,,zed,unimportant,might or might not,probably not,probably not,no,canadian english,often,no,no,definitely yes,might or might not,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,definitely not,54,canada,british columbia,female,undergraduate degree,i am not currently studying,on,0,yes ,9,24 hours,1
agree,probably not,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,probably not,yes ,british english,rarely,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,strongly disagree,definitely yes,24,canada,british columbia,female,high school,fourth year+,on,0,yes ,3,less than 30 minutes,4
strongly agree,definitely yes,no,,extremely unimportant,that depends ,yes,yes i do know it is ,zed,very unimportant,definitely yes,probably yes,probably yes,yes ,canadian english,always,yes,definitely yes,definitely not,probably yes,neither disagree nor agree,agree,strongly agree,strongly agree,probably yes,84,canada,ontario,other,other ,other degree ,qc,0,yes ,6,46 hours,3
strongly agree,definitely yes,yes,moderately comfortable,unimportant,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,neither yes or no,probably yes,might or might not,agree,disagree,agree,strongly agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,7,yes ,7,46 hours,3
strongly agree,probably yes,yes,extremely comfortable,unimportant,yes,yes,yes but i cant describe it well,zed,unimportant,probably not,probably not,,no,british english,never,no,neither yes or no,probably not,probably not,agree,disagree,strongly agree,strongly disagree,probably yes,24,canada,british columbia,female,undergraduate degree,i am in a graduate program,bc,2,yes ,6,24 hours,3
strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably not,definitely not,no,canadian english,often,yes,yes,probably yes,probably yes,strongly agree,agree,strongly agree,strongly agree,probably yes,69,canada,british columbia,female,graduate degree,i am not currently studying,bc,1,yes ,2,30 minutes to 1 hour,3
strongly agree,probably not,yes,extremely comfortable,important,yes,no,,zed,neither unimportant nor important,probably yes,probably yes,probably not,no,british english,often,yes,neither yes or no,definitely yes,probably yes,disagree,disagree,disagree,agree,probably yes,69,canada,ontario,female,graduate degree,i am not currently studying,on,2,no,,30 minutes to 1 hour,3
somewhat agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,strongly agree,agree,probably yes,49,canada,british columbia,male,graduate degree,i am not currently studying,bc,0,no,,24 hours,3
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,probably not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,,disagree,definitely yes,24,canada,ontario,male,high school,third year,on,0,no,,30 minutes to 1 hour,4
agree,definitely not,yes,moderately comfortable,unimportant,that depends ,no,,zee,very important,definitely yes,probably yes,probably not,,canadian english,often,yes,yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,strongly disagree,neither disagree nor agree,definitely yes,24,germany,,male,high school,i am not currently studying,on,1,yes ,4,less than 30 minutes,4
strongly agree,definitely yes,no,,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,definitely not,,british english,sometimes,yes,yes,probably yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,graduate degree,i am not currently studying,ab,0,no,,24 hours,3
agree,neutral,no,,extremely unimportant,no,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely not,definitely not,yes ,british english,sometimes,yes,yes,probably not,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,44,canada,ontario,female,graduate degree,i am not currently studying,on,0,no,,30 minutes to 1 hour,3
strongly agree,neutral,no,,extremely unimportant,that depends ,no,,zed,very unimportant,definitely not,probably yes,definitely not,yes ,british english,often,no,definitely not,definitely yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,19,canada,alberta,male,high school,first year,on,0,yes ,10,12 hours,3
agree,probably yes,no,,important,yes,no,,zed,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,39,canada,ontario,male,postgraduate degree,i am not currently studying,on,0,no,,less than 30 minutes,3
strongly agree,neutral,no,,important,yes,yes,yes but i cant describe it well,zed,important,,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,49,canada,british columbia,female,other ,i am not currently studying,bc,0,yes ,2,30 minutes to 1 hour,3
strongly agree,definitely yes,no,,important,yes,not sure,,zed,important,definitely yes,probably yes,definitely not,no,british english,always,yes,definitely yes,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,agree,probably yes,24,canada,ontario,female,undergraduate degree,fourth year+,on,0,yes ,6,24 hours,3
strongly agree,probably not,no,,extremely important,yes,not sure,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,often,yes,no,definitely yes,definitely yes,agree,neither disagree nor agree,strongly agree,disagree,definitely yes,74,canada,ontario,female,other ,i am not currently studying,on,0,yes ,10,24 hours,4
agree,neutral,yes,moderately comfortable,,that depends ,no,,both,neither unimportant nor important,probably yes,definitely yes,probably not,yes ,canadian english,often,,yes,definitely yes,probably yes,agree,disagree,agree,disagree,definitely yes,44,canada,ontario,male,undergraduate degree,i am not currently studying,bc,1,yes ,2,12 hours,4
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,ontario,female,postgraduate degree,i am not currently studying,on,1,yes ,8,46 hours,3
agree,probably yes,no,,extremely important,no,no,,both,important,probably yes,probably yes,probably yes,yes ,british english,often,yes,yes,definitely yes,definitely yes,agree,disagree,agree,neither disagree nor agree,probably yes,34,canada,ontario,female,undergraduate degree,i am not currently studying,on,0,no,,12 hours,3
agree,neutral,no,,important,no,yes,yes i do know it is ,both,important,probably yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,disagree,definitely yes,29,canada,manitoba,female,graduate degree,i am not currently studying,mb,0,no,,less than 30 minutes,4
strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,disagree,disagree,disagree,definitely yes,54,canada,ontario,female,high school,i am not currently studying,on,0,no,,30 minutes to 1 hour,4
agree,probably yes,no,,,yes,no,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,no,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,disagree,agree,disagree,definitely yes,54,canada,ontario,female,graduate degree,i am not currently studying,on,0,no,,i dont use social media,4
strongly agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,disagree,neither disagree nor agree,disagree,probably yes,54,canada,ontario,female,undergraduate degree,i am not currently studying,on,0,yes ,7,less than 30 minutes,3
agree,definitely yes,yes,extremely comfortable,important,no,no,,both,unimportant,might or might not,probably not,probably yes,yes ,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,agree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,44,canada,ontario,female,postgraduate degree,i am not currently studying,on,0,no,,less than 30 minutes,3
agree,probably not,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,important,definitely yes,probably not,probably yes,yes ,canadian english,often,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,probably not,69,canada,ontario,male,graduate degree,i am not currently studying,on,1,no,,i dont use social media,2
strongly agree,definitely yes,yes,extremely comfortable,extremely important,no,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,no,british english,often,yes,definitely not,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,39,canada,ontario,male,postgraduate degree,i am not currently studying,on,1,no,,less than 30 minutes,4
