cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,cdn_way_num
agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,yes ,canadian english,often,yes,,definitely yes,definitely yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,british columbia,female,graduate degree,other degree ,bc,0,yes ,6,30 minutes to 1 hour,3
agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably yes,,no,no particular variety,often,yes,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,19,canada,british columbia,male,high school,,bc,0,yes ,0,12 hours,3
agree,probably yes,yes,moderately comfortable,,no,no,,both,important,probably yes,,,no,canadian english,sometimes,,neither yes or no,probably yes,definitely yes,agree,disagree,neither disagree nor agree,,probably yes,19,canada,british columbia,male,elementary school,i am in a graduate program,bc,3,no,,24 hours,3
somewhat agree,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,not sure,,zed,neither unimportant nor important,probably yes,probably yes,,,british english,often,yes,neither yes or no,probably yes,definitely yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably not,19,canada,british columbia,male,elementary school,i am not currently studying,bc,0,yes ,11,46 hours,2
strongly agree,probably yes,yes,extremely comfortable,,yes,no,,both,important,probably yes,probably yes,probably yes,yes ,canadian english,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,disagree,disagree,neither disagree nor agree,probably not,14,canada,british columbia,male,elementary school,i am not currently studying,bc,4,no,,24 hours,2
strongly agree,definitely yes,yes,extremely comfortable,important,no,no,,both,very unimportant,definitely not,probably yes,,,american english,often,,,definitely yes,probably yes,neither disagree nor agree,disagree,strongly disagree,strongly agree,probably yes,19,canada,british columbia,male,elementary school,i am not currently studying,bc,4,yes ,15,24 hours,3
agree,definitely yes,yes,moderately uncomfortable,,that depends ,no,,zee,important,might or might not,probably yes,definitely not,yes ,canadian english,sometimes,,neither yes or no,definitely not,probably yes,agree,disagree,disagree,agree,probably yes,19,canada,british columbia,male,elementary school,i am not currently studying,bc,3,yes ,3,24 hours,3
somewhat agree,probably yes,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably yes,,,british english,often,yes,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,,neither disagree nor agree,definitely yes,19,canada,british columbia,male,other ,other degree ,bc,5,yes ,10,12 hours,4
strongly agree,probably yes,yes,moderately comfortable,unimportant,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably not,probably not,no,canadian english,sometimes,yes,yes,probably yes,might or might not,strongly agree,agree,neither disagree nor agree,strongly agree,probably yes,19,canada,british columbia,male,elementary school,third year,bc,5,no,,46 hours,3
agree,probably yes,no,,extremely important,that depends ,no,,zed,very unimportant,definitely yes,definitely yes,definitely not,yes ,other ,often,yes,definitely yes,definitely yes,definitely yes,agree,neither disagree nor agree,agree,agree,definitely yes,34,canada,saskatchewan,female,graduate degree,i am not currently studying,sk,1,yes ,5,12 hours,4
