cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,spell_uni_num,distinct_num,cdn_way_num,spell_num,spell_uni_scaled,distinct_scaled,cdn_way_scaled,attitude_index_scaled
strongly agree,probably not,yes,moderately uncomfortable,,that depends ,no,,zed,neither unimportant nor important,,probably not,,,no particular variety,often,yes,neither yes or no,definitely yes,probably yes,neither disagree nor agree,disagree,agree,neither disagree nor agree,,14,canada,ontario,female,other ,i am not currently studying,on,3,yes ,1,24 hours,,2,,3,,2.33333333333333,,2.66666666666667
strongly agree,probably yes,yes,extremely comfortable,,yes,yes,yes but i cant describe it well,zed,unimportant,probably not,probably not,probably not,no,american english,rarely,no,yes,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,54,canada,ontario,male,postgraduate degree,i am not currently studying,china,9,no,,30 minutes to 1 hour,2,2,3,2,2,2.33333333333333,3.66666666666667,2.5
strongly agree,probably yes,no,,important,yes,no,,zed,unimportant,probably yes,,probably yes,no,no particular variety,,yes,yes,definitely yes,probably yes,agree,disagree,neither disagree nor agree,disagree,probably not,59,canada,ontario,female,postgraduate degree,i am not currently studying,uk,0,yes ,11,less than 30 minutes,4,,2,2,4,,2.33333333333333,2.77777777777778
strongly agree,neutral,yes,neither comfortable nor uncomfortable,unimportant,yes,no,,zed,unimportant,probably not,probably not,probably yes,yes ,british english,always,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,59,canada,ontario,male,undergraduate degree,i am not currently studying,on,0,yes ,0,less than 30 minutes,2,2,3,2,2,2.33333333333333,3.66666666666667,2.5
strongly agree,definitely yes,yes,extremely comfortable,important,no,no,,zed,neither unimportant nor important,probably yes,definitely not,probably yes,no,british english,rarely,no,no,probably not,probably yes,agree,disagree,agree,neither disagree nor agree,probably yes,59,canada,ontario,female,high school,i am not currently studying,hong kong,8,yes ,8,30 minutes to 1 hour,4,1,3,3,4,1,3.66666666666667,2.91666666666667
agree,probably yes,no,,important,no,yes,yes but i cant describe it well,both,important,probably yes,probably yes,,yes ,british english,often,yes,yes,definitely yes,probably yes,agree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,29,canada,ontario,male,high school,i am not currently studying,on,0,yes ,7,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,probably yes,yes,moderately comfortable,,that depends ,no,,both,unimportant,probably not,,probably not,,british english,always,yes,neither yes or no,definitely yes,probably yes,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,29,canada,british columbia,male,undergraduate degree,fourth year+,hong kong,5,yes ,2,30 minutes to 1 hour,2,,3,2,2,,3.66666666666667,2.55555555555556
strongly agree,probably yes,yes,moderately comfortable,extremely unimportant,that depends ,yes,yes but i cant describe it well,zee,very unimportant,probably not,,probably not,no,no particular variety,rarely,yes,neither yes or no,probably not,probably yes,strongly disagree,strongly disagree,,strongly disagree,probably not,24,canada,british columbia,female,undergraduate degree,fourth year+,china,7,no,,24 hours,2,,2,1,2,,2.33333333333333,1.77777777777778
strongly agree,probably yes,yes,extremely comfortable,,that depends ,no,,zee,neither unimportant nor important,might or might not,definitely yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,agree,probably yes,24,canada,british columbia,male,high school,third year,,6,yes ,2,24 hours,3,4,3,3,3,5,3.66666666666667,3.66666666666667
strongly agree,definitely yes,yes,extremely comfortable,,no,no,,zed,neither unimportant nor important,definitely not,probably not,,no,british english,rarely,yes,no,might or might not,probably yes,strongly agree,strongly disagree,,,,29,canada,british columbia,male,undergraduate degree,second year,iraq,9,yes ,12,46 hours,1,2,,3,1,2.33333333333333,,2.11111111111111
agree,probably yes,yes,extremely comfortable,extremely important,that depends ,not sure,,zed,unimportant,probably yes,probably not,probably not,no,british english,rarely,yes,yes,probably yes,probably not,disagree,disagree,agree,agree,probably not,24,canada,british columbia,female,undergraduate degree,i am not currently studying,hong kong,11,yes ,6,12 hours,4,2,2,2,4,2.33333333333333,2.33333333333333,2.66666666666667
strongly agree,probably not,no,,important,yes,not sure,,zee,neither unimportant nor important,probably yes,probably not,,yes ,british english,rarely,yes,no,probably yes,definitely yes,agree,neither disagree nor agree,strongly agree,disagree,probably not,34,canada,british columbia,female,postgraduate degree,i am not currently studyingi am in a graduate program,bc,0,no,,46 hours,4,2,2,3,4,2.33333333333333,2.33333333333333,2.91666666666667
agree,probably yes,yes,extremely comfortable,important,,not sure,,zed,important,probably yes,,,no,canadian english,sometimes,,neither yes or no,definitely yes,probably yes,strongly agree,neither disagree nor agree,neither disagree nor agree,agree,probably yes,19,canada,british columbia,male,elementary school,i am not currently studying,,2,no,,24 hours,4,,3,4,4,,3.66666666666667,3.88888888888889
agree,definitely yes,yes,extremely comfortable,,no,no,,zee,important,might or might not,probably not,,yes ,canadian english,never,,yes,definitely yes,probably not,agree,neither disagree nor agree,,,probably not,19,canada,british columbia,male,elementary school,i am not currently studying,,0,,,68 hours,3,2,2,4,3,2.33333333333333,2.33333333333333,2.91666666666667
strongly agree,probably yes,yes,neither comfortable nor uncomfortable,unimportant,no,no,,zee,unimportant,probably not,probably not,definitely not,,no particular variety,often,,no,probably yes,definitely yes,neither disagree nor agree,strongly disagree,agree,neither disagree nor agree,probably not,24,canada,british columbia,male,high school,third year,bc,2,yes ,8,24 hours,2,2,2,2,2,2.33333333333333,2.33333333333333,2.16666666666667
