cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,spell_uni_num,distinct_num,cdn_way_num,spell_num,spell_uni_scaled,distinct_scaled,cdn_way_scaled,attitude_index_scaled
strongly agree,definitely yes,no,,extremely unimportant,yes,yes,yes but i cant describe it well,both,very unimportant,definitely not,definitely not,probably not,no,singaporean english,rarely,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably not,19,canada,british columbia,female,high school,second year,bc,0,no,,46 hours,1,1,2,1,1,1,2.33333333333333,1.33333333333333
strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,yes ,12,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,probably yes,yes,extremely comfortable,unimportant,that depends ,no,yes i do know it is ,zee,important,definitely not,definitely yes,definitely not,yes ,no particular variety,often,no,yes,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,disagree,definitely yes,24,canada,british columbia,other,high school,fourth year+,us,4,yes ,4,24 hours,1,4,4,4,1,5,5,3.75
strongly agree,probably yes,yes,moderately comfortable,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,quebec,other,high school,fourth year+,bc,0,no,,12 hours,2,3,3,3,2,3.66666666666667,3.66666666666667,3.08333333333333
strongly agree,probably yes,yes,moderately uncomfortable,unimportant,that depends ,not sure,,zee,unimportant,probably not,probably not,,no,british english,rarely,yes,yes,definitely yes,definitely yes,agree,disagree,agree,agree,probably yes,24,canada,british columbia,other,high school,fourth year+,singapore,3,yes ,8,24 hours,2,2,3,2,2,2.33333333333333,3.66666666666667,2.5
strongly agree,probably not,no,,important,that depends ,no,,zed,neither unimportant nor important,definitely not,definitely not,probably yes,yes ,british english,rarely,,no,probably yes,probably yes,agree,disagree,strongly agree,disagree,probably yes,24,canada,british columbia,male,high school,fourth year+,bc,0,yes ,4,24 hours,1,1,3,3,1,1,3.66666666666667,2.16666666666667
agree,probably yes,no,,important,that depends ,not sure,,zee,important,,,,,,,,,definitely yes,probably yes,agree,agree,strongly agree,agree,,19,canada,ontario,female,elementary school,i am not currently studying,on,0,no,,24 hours,,,,4,,,,4
agree,definitely yes,yes,neither comfortable nor uncomfortable,,that depends ,no,,zee,important,probably yes,probably yes,,,british english,sometimes,,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,strongly agree,probably yes,19,canada,british columbia,female,elementary school,i am not currently studying,bc,0,no,,46 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,definitely yes,no,,important,that depends ,no,,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,agree,agree,agree,probably yes,54,canada,british columbia,male,high school,i am not currently studying,,0,no,,30 minutes to 1 hour,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably not,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,,disagree,strongly agree,disagree,definitely yes,24,canada,british columbia,male,high school,fourth year+,mb,0,yes ,3,30 minutes to 1 hour,5,2,4,3,5,2.33333333333333,5,3.83333333333333
agree,definitely yes,no,,important,yes,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,neither disagree nor agree,definitely yes,24,canada,british columbia,male,undergraduate degree,fourth year+,ab,0,no,,24 hours,5,3,4,4,5,3.66666666666667,5,4.41666666666667
agree,probably yes,yes,moderately comfortable,,that depends ,no,,both,unimportant,probably not,probably yes,,yes ,british english,sometimes,yes,,definitely yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,quebec,other,high school,fourth year+,on,2,no,,46 hours,2,3,3,2,2,3.66666666666667,3.66666666666667,2.83333333333333
agree,probably yes,no,,unimportant,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,probably not,,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,no,,24 hours,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,undergraduate degree,i am not currently studying,mb,0,no,,46 hours,5,4,3,5,5,5,3.66666666666667,4.66666666666667
strongly agree,definitely yes,yes,moderately comfortable,important,no,not sure,,zed,important,probably not,probably yes,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably not,24,canada,british columbia,female,high school,fourth year+,on,0,yes ,2,30 minutes to 1 hour,2,3,2,4,2,3.66666666666667,2.33333333333333,3
strongly agree,probably yes,yes,extremely comfortable,important,yes,not sure,,both,important,probably not,probably not,definitely not,yes ,british english,rarely,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,,probably yes,24,canada,british columbia,female,high school,third year,,5,yes ,7,24 hours,2,2,3,4,2,2.33333333333333,3.66666666666667,3
strongly agree,neutral,no,,extremely important,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,british columbia,female,high school,fourth year+,bc,0,no,,30 minutes to 1 hour,5,4,4,5,5,5,5,5
strongly disagreee,probably yes,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,no,,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,probably not,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,2,yes ,3,24 hours,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
strongly agree,probably yes,yes,extremely comfortable,extremely important,no,yes,yes but i cant describe it well,zee,important,definitely yes,probably yes,,,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,quebec,female,undergraduate degree,first year,qc,5,no,,12 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,probably yes,disagree,disagree,agree,agree,probably not,49,canada,british columbia,male,high school,i am not currently studying,mb,3,yes ,4,30 minutes to 1 hour,3,3,2,3,3,3.66666666666667,2.33333333333333,3
strongly agree,neutral,yes,moderately comfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,yes ,singaporean english,,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,disagree,definitely yes,39,canada,british columbia,male,postgraduate degree,fourth year+i am in a graduate program,bc,0,no,,12 hours,4,4,4,4,4,5,5,4.5
strongly agree,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,not sure,yes but i cant describe it well,zee,neither unimportant nor important,probably not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,agree,strongly agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,4,yes ,3,24 hours,2,3,3,3,2,3.66666666666667,3.66666666666667,3.08333333333333
strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,64,canada,british columbia,female,postgraduate degree,i am not currently studying,mb,0,no,,30 minutes to 1 hour,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
agree,probably yes,no,,,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,,yes ,no particular variety,sometimes,yes,yes,probably yes,probably not,disagree,disagree,,neither disagree nor agree,probably yes,24,canada,british columbia,female,undergraduate degree,fourth year+,bc,0,no,,24 hours,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,probably yes,yes,moderately comfortable,important,yes,yes,yes but i cant describe it well,zee,important,might or might not,probably yes,,yes ,british english,sometimes,yes,yes,definitely yes,might or might not,disagree,disagree,agree,neither disagree nor agree,probably yes,24,canada,quebec,female,undergraduate degree,third year,us,2,no,,30 minutes to 1 hour,3,3,3,4,3,3.66666666666667,3.66666666666667,3.58333333333333
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zee,important,probably yes,probably yes,definitely not,no,british english,sometimes,,neither yes or no,probably yes,probably yes,strongly disagree,strongly disagree,strongly agree,disagree,probably yes,24,canada,ontario,female,undergraduate degree,fourth year+,bc,1,no,,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,no,,zed,neither unimportant nor important,might or might not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,disagree,probably yes,24,canada,british columbia,female,high school,third year,bc,0,no,,30 minutes to 1 hour,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,probably yes,yes,extremely comfortable,important,that depends ,no,,both,important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly agree,probably yes,19,canada,british columbia,female,other ,second year,bc,4,yes ,10,46 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,probably yes,no,,important,,not sure,,both,important,probably yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,i am not currently studying,bc,1,no,,24 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,probably yes,no,,extremely important,no,not sure,yes but i cant describe it well,both,very unimportant,might or might not,definitely not,definitely not,no,british english,often,,definitely not,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,agree,probably yes,24,canada,british columbia,female,high school,third year,bc,0,no,,12 hours,3,1,3,1,3,1,3.66666666666667,2.16666666666667
strongly agree,definitely yes,yes,moderately comfortable,,yes,no,yes i do know it is ,zee,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,yes,definitely yes,definitely yes,,strongly disagree,strongly agree,strongly agree,definitely yes,24,canada,quebec,female,high school,fourth year+,bc,4,yes ,7,24 hours,5,4,4,4,5,5,5,4.75
strongly agree,probably yes,yes,moderately uncomfortable,extremely important,no,no,,zed,very important,probably yes,probably yes,probably yes,yes ,canadian english,sometimes,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,quebec,female,high school,fourth year+,on,3,no,,12 hours,4,3,3,5,4,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,probably yes,no,,important,that depends ,yes,yes i do know it is ,zee,neither unimportant nor important,probably yes,definitely not,definitely not,yes ,british english,never,no,yes,definitely not,probably yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,ab,0,yes ,5,24 hours,4,1,3,3,4,1,3.66666666666667,2.91666666666667
strongly agree,probably yes,yes,moderately comfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,yes ,other ,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,agree,strongly agree,neither disagree nor agree,definitely yes,34,canada,british columbia,male,other ,i am not currently studying,taiwan,7,yes ,5,30 minutes to 1 hour,4,4,4,4,4,5,5,4.5
agree,probably not,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,definitely yes,,,british english,often,yes,definitely yes,probably yes,definitely yes,disagree,disagree,agree,strongly disagree,probably yes,44,canada,british columbia,male,graduate degree,i am not currently studying,bc,0,no,,30 minutes to 1 hour,4,4,3,4,4,5,3.66666666666667,4.16666666666667
strongly agree,definitely yes,yes,moderately comfortable,important,no,no,,zed,very important,probably yes,definitely yes,,yes ,british english,rarely,yes,neither yes or no,definitely yes,definitely yes,agree,disagree,agree,agree,probably yes,19,canada,british columbia,male,high school,first year,bc,3,yes ,0,68 hours,4,4,3,5,4,5,3.66666666666667,4.41666666666667
strongly agree,probably not,yes,neither comfortable nor uncomfortable,important,no,yes,yes i do know it is ,zed,important,probably yes,definitely yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,disagree,strongly agree,strongly agree,definitely yes,34,canada,ontario,female,postgraduate degree,i am in a graduate program,south africa,3,yes ,3,30 minutes to 1 hour,4,4,4,4,4,5,5,4.5
strongly agree,definitely yes,no,,unimportant,no,no,,zee,unimportant,probably not,probably not,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,might or might not,disagree,strongly disagree,agree,neither disagree nor agree,probably yes,24,canada,ontario,other,high school,third year,on,0,yes ,4,24 hours,2,2,3,2,2,2.33333333333333,3.66666666666667,2.5
strongly agree,probably not,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably not,probably not,yes ,no particular variety,often,,neither yes or no,definitely yes,probably yes,agree,neither disagree nor agree,agree,strongly agree,probably yes,34,canada,british columbia,male,other ,i am not currently studying,bc,0,no,,12 hours,2,2,3,3,2,2.33333333333333,3.66666666666667,2.75
somewhat disagree,definitely not,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,agree,strongly agree,strongly disagree,definitely yes,34,canada,ontario,male,other ,i am not currently studying,bc,0,yes ,12,less than 30 minutes,5,4,4,5,5,5,5,5
somewhat agree,probably not,yes,moderately comfortable,important,that depends ,no,,both,neither unimportant nor important,probably not,probably not,definitely not,yes ,no particular variety,,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,probably not,24,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,2,yes ,10,24 hours,2,2,2,3,2,2.33333333333333,2.33333333333333,2.41666666666667
strongly agree,neutral,no,,important,that depends ,yes,,zed,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,1,no,,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,both,very important,definitely yes,definitely yes,probably not,yes ,british english,always,yes,yes,definitely yes,definitely yes,strongly agree,agree,agree,agree,definitely yes,49,canada,ontario,female,undergraduate degree,i am not currently studying,on,2,yes ,7,24 hours,5,4,4,5,5,5,5,5
strongly agree,probably yes,yes,extremely comfortable,,no,not sure,,zee,unimportant,probably not,probably not,probably not,,british english,sometimes,yes,neither yes or no,probably yes,probably yes,disagree,disagree,agree,,,24,canada,british columbia,other,high school,fourth year+,us,1,no,,24 hours,2,2,,2,2,2.33333333333333,,2.11111111111111
strongly agree,probably yes,yes,extremely comfortable,important,yes,not sure,,zed,unimportant,might or might not,definitely yes,,,american english,often,yes,neither yes or no,definitely not,definitely yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,yes ,8,46 hours,3,4,3,2,3,5,3.66666666666667,3.41666666666667
agree,definitely yes,no,,important,yes,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,29,canada,ontario,other,graduate degree,second yeari am in a graduate program,ab,0,no,,12 hours,4,4,3,4,4,5,3.66666666666667,4.16666666666667
agree,neutral,no,,unimportant,no,yes,yes but i cant describe it well,zed,unimportant,probably not,probably not,probably yes,yes ,american english,often,,neither yes or no,definitely yes,probably yes,agree,strongly disagree,,disagree,probably yes,24,canada,british columbia,male,graduate degree,i am not currently studying,,0,no,,24 hours,2,2,3,2,2,2.33333333333333,3.66666666666667,2.5
strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,zed,very important,might or might not,definitely yes,definitely not,yes ,other ,rarely,yes,definitely yes,might or might not,probably not,disagree,disagree,agree,disagree,probably yes,59,canada,ontario,female,postgraduate degree,i am not currently studying,on,0,no,,12 hours,3,4,3,5,3,5,3.66666666666667,4.16666666666667
strongly disagreee,definitely yes,yes,neither comfortable nor uncomfortable,extremely unimportant,that depends ,no,,zee,very unimportant,definitely not,probably not,definitely not,yes ,british english,sometimes,no,no,probably yes,probably not,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,,24,canada,british columbia,male,high school,fourth year+,bc,0,yes ,2,24 hours,1,2,,1,1,2.33333333333333,,1.44444444444444
strongly agree,probably yes,yes,moderately uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,definitely not,yes ,canadian english,often,yes,definitely yes,probably yes,probably yes,agree,agree,strongly agree,agree,definitely yes,39,canada,british columbia,female,postgraduate degree,i am not currently studying,austria,6,yes ,7,less than 30 minutes,5,3,4,5,5,3.66666666666667,5,4.66666666666667
strongly agree,probably not,yes,moderately comfortable,extremely important,yes,yes,yes but i cant describe it well,zee,very unimportant,definitely not,definitely yes,definitely not,yes ,british english,sometimes,no,no,definitely yes,definitely yes,agree,disagree,agree,strongly disagree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,2,yes ,11,12 hours,1,4,3,1,1,5,3.66666666666667,2.66666666666667
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely not,probably yes,definitely not,yes ,british english,often,yes,neither yes or no,definitely yes,definitely yes,agree,strongly disagree,neither disagree nor agree,strongly disagree,definitely yes,24,canada,british columbia,female,graduate degree,i am not currently studying,bc,4,yes ,3,68 hours,1,3,4,3,1,3.66666666666667,5,3.16666666666667
strongly agree,probably yes,yes,moderately comfortable,extremely unimportant,yes,yes,yes i do know it is ,zed,important,probably yes,probably yes,probably yes,yes ,no particular variety,always,yes,definitely yes,definitely yes,might or might not,agree,agree,agree,neither disagree nor agree,probably yes,64,canada,manitoba,female,undergraduate degree,i am not currently studying,mb,0,yes ,0,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,definitely yes,yes,moderately uncomfortable,unimportant,that depends ,no,yes i do know it is ,both,unimportant,probably not,probably yes,probably not,yes ,other ,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,strongly agree,probably yes,24,canada,british columbia,other,high school,i am not currently studying,bc,3,yes ,3,12 hours,2,3,3,2,2,3.66666666666667,3.66666666666667,2.83333333333333
strongly agree,definitely yes,yes,moderately comfortable,,yes,no,,zee,neither unimportant nor important,probably yes,probably yes,probably not,yes ,british english,rarely,yes,yes,definitely not,definitely yes,disagree,neither disagree nor agree,disagree,strongly agree,probably yes,24,canada,british columbia,female,undergraduate degree,fourth year+,bc,4,yes ,10,24 hours,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
agree,neutral,yes,moderately comfortable,important,that depends ,not sure,,both,important,probably yes,probably yes,,yes ,british english,rarely,yes,yes,definitely yes,might or might not,disagree,strongly disagree,agree,agree,probably yes,24,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,4,yes ,3,46 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,probably not,no,,important,no,yes,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,sometimes,no,neither yes or no,definitely yes,probably yes,agree,disagree,,,probably yes,24,canada,british columbia,female,high school,second year,bc,0,yes ,7,46 hours,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
somewhat agree,neutral,no,,,that depends ,yes,yes i do know it is ,both,very unimportant,might or might not,,,,no particular variety,,yes,neither yes or no,probably yes,probably yes,agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,high school,i am not currently studying,bc,0,no,,24 hours,3,,3,1,3,,3.66666666666667,2.55555555555556
agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,,probably not,,british english,sometimes,,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,74,canada,ontario,female,postgraduate degree,i am not currently studying,on,0,no,,30 minutes to 1 hour,5,,3,5,5,,3.66666666666667,4.55555555555556
strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,64,canada,ontario,female,postgraduate degree,i am not currently studying,ab,2,no,,24 hours,2,3,3,3,2,3.66666666666667,3.66666666666667,3.08333333333333
strongly agree,definitely yes,yes,moderately uncomfortable,,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably yes,yes ,no particular variety,often,yes,neither yes or no,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,54,canada,british columbia,female,undergraduate degree,i am not currently studying,mb,0,no,,30 minutes to 1 hour,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
somewhat agree,probably not,no,,important,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,might or might not,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,ontario,male,high school,third year,bc,0,no,,12 hours,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
strongly agree,probably not,yes,moderately comfortable,extremely unimportant,that depends ,no,yes but i cant describe it well,both,very unimportant,,probably not,probably not,,no particular variety,sometimes,,no,might or might not,probably yes,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,probably not,24,canada,british columbia,female,undergraduate degree,i am in a graduate program,bc,6,yes ,5,24 hours,,2,2,1,,2.33333333333333,2.33333333333333,1.88888888888889
strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zed,very important,probably yes,definitely yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,male,undergraduate degree,i am in a graduate program,on,0,no,,46 hours,4,4,3,5,4,5,3.66666666666667,4.41666666666667
strongly agree,probably yes,no,,important,that depends ,not sure,yes but i cant describe it well,zed,important,,probably yes,probably not,,british english,often,yes,yes,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,59,canada,ontario,female,postgraduate degree,i am not currently studying,pei,0,no,,12 hours,,3,3,4,,3.66666666666667,3.66666666666667,3.77777777777778
strongly agree,definitely yes,yes,moderately comfortable,important,yes,no,,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,agree,disagree,strongly agree,neither disagree nor agree,definitely yes,24,canada,british columbia,female,high school,fourth year+,bc,8,yes ,11,24 hours,3,3,4,3,3,3.66666666666667,5,3.66666666666667
strongly agree,definitely yes,no,,important,no,yes,,both,,probably yes,probably yes,,yes ,british english,often,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,54,canada,ontario,female,undergraduate degree,i am not currently studying,on,0,no,,12 hours,4,3,3,,4,3.66666666666667,3.66666666666667,3.77777777777778
strongly agree,definitely yes,yes,extremely comfortable,,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,definitely yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably yes,disagree,disagree,agree,agree,probably yes,44,canada,ontario,male,postgraduate degree,i am not currently studying,on,1,no,,30 minutes to 1 hour,5,3,3,3,5,3.66666666666667,3.66666666666667,3.83333333333333
agree,probably yes,no,,extremely important,that depends ,no,,both,very important,definitely yes,probably not,probably not,,british english,sometimes,yes,yes,probably yes,probably not,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,,64,canada,british columbia,male,undergraduate degree,i am not currently studying,sk,0,no,,24 hours,5,2,,5,5,2.33333333333333,,4.11111111111111
strongly agree,definitely yes,no,,important,that depends ,no,,both,important,probably yes,probably yes,probably not,no,no particular variety,rarely,yes,,probably yes,probably yes,strongly disagree,strongly disagree,agree,agree,,54,canada,british columbia,male,graduate degree,i am not currently studying,on,0,no,,30 minutes to 1 hour,4,3,,4,4,3.66666666666667,,3.88888888888889
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,definitely yes,64,canada,ontario,female,graduate degree,i am not currently studying,on,4,yes ,10,12 hours,4,4,4,4,4,5,5,4.5
strongly agree,definitely yes,no,,extremely important,that depends ,no,,zed,very unimportant,definitely yes,definitely yes,definitely not,,no particular variety,sometimes,yes,definitely yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,,64,canada,ontario,female,undergraduate degree,i am not currently studying,on,0,yes ,12,less than 30 minutes,5,4,,1,5,5,,3.66666666666667
somewhat agree,neutral,no,,unimportant,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,often,yes,definitely yes,probably not,definitely yes,neither disagree nor agree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,34,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,0,no,,24 hours,5,4,4,5,5,5,5,5
strongly agree,definitely yes,no,,important,that depends ,no,,both,important,definitely yes,probably yes,probably not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,strongly agree,definitely yes,64,canada,ontario,male,high school,i am not currently studying,on,0,yes ,8,24 hours,5,3,4,4,5,3.66666666666667,5,4.41666666666667
strongly agree,probably yes,yes,moderately comfortable,unimportant,yes,no,,zed,neither unimportant nor important,probably yes,probably yes,,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably not,agree,agree,agree,agree,definitely yes,59,canada,ontario,female,postgraduate degree,i am not currently studying,us,3,yes ,5,30 minutes to 1 hour,4,3,4,3,4,3.66666666666667,5,3.91666666666667
,probably not,yes,extremely comfortable,unimportant,that depends ,no,,zed,unimportant,might or might not,probably not,probably not,no,canadian english,often,no,no,definitely yes,might or might not,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,definitely not,54,canada,british columbia,female,undergraduate degree,i am not currently studying,on,0,yes ,9,24 hours,3,2,1,2,3,2.33333333333333,1,2.08333333333333
